time_rank,temperature,pressure,humidity,wind_speed,PM2.5,NO2,CO,O3,SO2
110,6.8,1011.5,39.0,1.8,371.0,109.0,3.9,32.0,79.0
111,7.7,1011.2,38.0,1.5,377.0,97.0,3.7,56.0,80.0
112,7.3,1011.0,40.0,1.7,380.0,87.0,3.5,67.0,76.0
113,6.2,1011.7,43.0,1.7,392.0,82.0,3.4,73.0,75.0
114,4.5,1012.5,48.0,2.0,399.0,92.0,3.6,54.0,68.0
115,4.0,1013.2,52.0,2.1,418.0,114.0,0.4,33.0,73.0
116,3.5,1013.7,53.0,2.3,438.0,128.0,4.2,17.0,66.0
117,2.4,1014.5,58.0,1.6,458.0,135.0,4.5,7.0,58.0
118,-1.0,1014.9,74.0,0.8,425.0,108.0,3.7,13.0,45.0
119,-2.0,1015.2,76.0,0.6,29.0,30.0,0.6,54.0,12.0
120,-1.1,1015.1,52.0,1.0,15.0,32.0,0.5,49.0,10.0
121,-0.9,1015.4,49.0,0.7,10.0,44.0,5.05,35.0,14.5
122,-3.3,1015.7,61.0,0.8,14.0,42.0,9.6,36.0,19.0
123,-4.2,1016.1,66.0,1.0,21.0,49.0,1.2,30.0,16.0
124,-4.4,1016.3,66.0,0.7,16.0,38.0,0.1,24.0,19.0
125,-4.1,1016.5,61.0,1.7,15.0,27.0,0.5,45.0,14.0
126,0.3,1016.5,46.0,2.8,8.0,14.0,0.3,57.0,4.0
127,-0.8,1017.2,47.0,0.9,15.0,66.0,1.1,8.0,18.0
128,-1.4,1018.1,47.0,0.8,19.0,75.0,1.2,4.0,20.0
129,3.6,1018.5,29.0,1.1,24.0,63.0,0.9,16.0,14.0
130,5.9,1018.1,20.0,3.7,6.0,26.0,0.4,55.0,4.0
131,7.3,1017.9,15.0,3.7,7.0,14.0,0.3,69.0,2.0
132,8.3,1017.5,15.0,4.7,11.0,12.0,0.2,74.0,2.0
133,8.7,1016.6,14.0,4.2,6.0,10.0,0.2,79.0,2.0
134,9.0,1015.8,13.0,3.2,4.0,11.0,0.2,81.0,2.0
135,9.0,1015.8,13.0,3.7,3.0,16.0,0.3,78.0,3.0
136,9.6,1015.5,12.0,2.7,12.0,18.0,0.3,78.0,3.0
137,8.4,1016.4,14.0,2.6,8.0,20.0,0.3,76.0,4.0
138,6.5,1017.5,16.0,1.5,14.0,39.0,0.4,57.0,7.0
139,5.4,1018.7,18.0,1.2,18.0,50.0,0.5,43.0,7.0
140,5.3,1019.9,18.0,1.5,12.0,42.0,0.4,49.0,4.0
141,5.3,1020.3,19.0,4.2,7.0,39.0,0.3,50.0,2.0
142,3.4,1021.2,22.0,2.2,3.0,33.0,0.3,53.0,4.0
143,2.6,1021.6,25.0,1.1,7.0,36.0,0.4,47.0,5.0
144,2.6,1022.4,24.0,2.0,7.0,26.0,0.3,55.0,4.0
145,2.3,1023.0,26.0,4.0,6.0,34.0,0.5,48.0,5.0
146,1.1,1024.0,29.0,2.1,8.0,26.0,0.4,52.0,5.0
147,-0.4,1025.3,33.0,1.3,9.0,28.0,0.4,49.0,5.0
148,-0.1,1024.9,30.0,2.5,5.0,27.0,0.4,48.0,4.0
149,-0.2,1026.0,30.0,4.0,4.5,29.0,0.4,47.0,4.5
150,-1.0,1026.0,32.0,2.5,4.0,31.0,0.4,46.0,5.0
151,-1.3,1026.7,31.0,2.8,6.0,35.0,0.4,43.0,7.0
152,-0.6,1028.0,29.0,2.4,6.0,47.0,0.5,35.0,6.0
153,0.5,1029.1,25.0,3.8,5.0,42.0,0.5,41.0,6.0
154,2.1,1029.5,20.0,3.7,10.0,21.0,0.4,61.0,4.0
155,3.1,1029.8,18.0,2.6,6.0,16.0,0.3,67.0,3.0
156,3.6,1029.2,18.0,1.0,6.0,16.0,0.3,68.0,2.0
157,3.8,1028.0,18.0,1.4,6.0,15.0,0.3,70.0,2.0
158,3.5,1027.2,18.0,1.1,7.0,18.0,0.3,68.0,2.0
159,3.5,1027.0,19.0,2.3,7.0,16.0,0.3,70.0,4.0
160,3.1,1027.2,20.0,2.3,10.0,18.0,0.3,67.0,4.0
161,2.6,1027.4,21.0,1.7,11.0,20.0,0.4,63.0,5.0
162,1.5,1027.4,24.0,1.0,16.0,28.0,0.4,54.0,5.0
163,0.6,1027.9,26.0,1.4,26.0,40.0,0.5,42.0,7.0
164,0.5,1028.1,27.0,1.3,27.0,50.0,0.7,32.0,10.0
165,-1.2,1027.9,31.0,0.7,49.0,41.0,0.8,37.0,16.0
166,-2.6,1028.7,36.0,1.3,44.0,43.0,0.8,34.0,17.0
167,-1.5,1028.7,35.0,2.2,50.33333333,53.0,1.1,23.66666667,18.0
168,-2.4,1028.4,44.0,1.0,56.66666667,63.0,1.4,13.33333333,19.0
169,-1.8,1028.3,48.0,1.4,63.0,73.0,1.7,3.0,20.0
170,-2.1,1027.9,52.0,1.1,50.0,60.0,1.3,10.0,16.0
171,-1.4,1027.8,51.0,1.0,57.0,57.0,1.3,9.0,16.0
172,-1.6,1027.4,52.0,0.9,63.0,55.33333333,1.3,8.0,17.33333333
173,-1.4,1027.3,52.0,1.4,69.0,53.66666667,1.3,7.0,18.66666667
174,-1.9,1026.7,55.0,1.2,75.0,52.0,1.3,6.0,20.0
175,-2.1,1027.1,56.0,1.0,73.0,56.0,1.4,4.0,21.5
176,-2.1,1027.6,57.0,0.9,71.0,60.0,1.5,2.0,23.0
177,-1.0,1027.9,55.0,1.1,77.0,53.0,1.4,6.0,42.0
178,0.2,1027.9,51.0,1.4,83.0,47.0,1.4,15.0,49.0
179,1.4,1027.7,44.0,2.4,51.0,46.0,1.3,29.0,38.0
180,2.2,1027.2,38.0,1.5,57.0,40.0,1.2,35.0,30.0
181,2.4,1026.2,38.0,2.9,43.0,23.0,0.9,56.0,23.0
182,2.5,1025.3,37.0,3.2,49.0,24.0,0.9,57.0,22.0
183,2.8,1025.1,37.0,1.4,32.0,18.0,0.8,67.0,17.0
184,2.6,1024.8,35.0,1.3,36.0,19.0,0.7,67.0,15.0
185,2.3,1024.7,33.0,1.4,34.0,20.0,0.7,67.0,14.0
186,0.3,1025.0,41.0,1.2,42.66666667,36.33333333,0.9,49.66666667,16.0
187,-0.9,1025.5,52.0,0.8,51.33333333,52.66666667,1.1,32.33333333,18.0
188,-2.0,1025.3,59.0,1.4,60.0,69.0,1.3,15.0,20.0
189,-3.1,1025.4,64.0,0.2,59.0,74.0,1.4,9.0,21.0
190,-2.7,1025.7,65.0,0.5,78.0,79.5,0.8,5.5,21.5
191,-3.5,1025.7,70.0,0.2,97.0,85.0,0.2,2.0,22.0
192,-3.4,1025.8,70.0,0.5,122.0,95.0,5.1,3.0,29.0
193,-3.0,1025.8,68.0,0.6,128.0,93.0,5.3,2.0,31.0
194,-3.5,1025.7,71.0,0.9,118.0,89.0,4.6,2.0,24.0
195,-3.7,1025.2,73.0,0.8,114.0,84.0,4.1,2.0,24.0
196,-3.9,1024.6,75.0,0.9,108.0,82.0,3.3,6.0,21.0
197,-1.4,1024.8,58.0,1.7,70.0,56.0,1.4,10.0,28.0
198,0.5,1025.1,37.0,3.7,29.0,36.0,0.8,33.0,21.0
199,0.0,1026.0,34.0,3.2,11.0,19.0,0.4,54.0,10.0
200,-0.3,1027.0,30.0,3.2,6.0,22.0,0.3,54.0,5.0
201,0.6,1027.2,29.0,3.7,7.0,24.0,0.3,54.0,5.0
202,1.3,1027.2,26.0,4.8,7.0,15.0,0.3,61.0,6.0
203,2.3,1027.1,23.0,3.7,6.0,12.0,0.3,65.0,5.0
204,3.1,1026.4,20.0,4.2,9.0,9.0,0.2,71.0,3.0
205,3.3,1025.6,19.0,3.7,7.5,7.0,0.7,73.5,2.5
206,3.5,1025.0,16.0,4.8,6.0,5.0,1.2,76.0,2.0
207,3.4,1024.8,15.0,6.1,6.0,6.0,1.3,76.0,2.0
208,3.4,1024.9,15.0,5.0,7.0,6.0,1.2,77.0,2.0
209,2.3,1025.1,17.0,4.1,7.0,11.0,1.3,72.0,3.0
210,1.2,1025.8,19.0,4.6,8.5,13.5,1.3,68.5,3.5
211,0.4,1026.7,20.0,5.1,10.0,16.0,1.3,65.0,4.0
212,-0.6,1027.3,20.0,3.8,9.0,17.0,1.3,63.0,4.0
213,-1.7,1027.9,22.0,2.7,11.0,20.0,1.3,57.0,3.0
214,-2.0,1027.9,23.0,2.9,7.0,14.0,1.3,62.0,4.0
215,-2.3,1027.5,23.0,3.8,6.916666667,14.08333333,1.308333333,62.0,3.833333333
216,-2.7,1027.2,23.0,2.9,6.833333333,14.16666667,1.316666667,62.0,3.666666667
217,-2.9,1026.7,25.0,4.0,6.75,14.25,1.325,62.0,3.5
218,-3.1,1026.3,25.0,4.2,6.666666667,14.33333333,1.333333333,62.0,3.333333333
219,-3.0,1026.0,24.0,4.7,6.583333333,14.41666667,1.341666667,62.0,3.166666667
220,-3.5,1025.5,25.0,2.5,6.5,14.5,1.35,62.0,3.0
221,-4.7,1025.2,28.0,0.9,6.416666667,14.58333333,1.358333333,62.0,2.833333333
222,-6.0,1024.8,31.0,0.6,6.333333333,14.66666667,1.3666666669999998,62.0,2.666666667
223,-4.1,1025.1,26.0,2.1,6.25,14.75,1.375,62.0,2.5
224,-4.1,1025.4,29.0,0.7,6.166666667,14.83333333,1.3833333330000002,62.0,2.333333333
225,-2.0,1025.4,22.0,3.6,6.083333333,14.91666667,1.391666667,62.0,2.166666667
226,-0.8,1025.3,19.0,3.0,6.0,15.0,1.4,62.0,2.0
227,0.3,1024.8,16.0,5.6,6.0,9.5,1.35,68.0,2.0
228,1.3,1023.7,13.0,5.8,6.0,4.0,1.3,74.0,2.0
229,1.8,1022.8,13.0,6.7,6.666666667,4.666666667,1.3,75.0,2.0
230,2.2,1022.3,13.0,5.6,7.333333333,5.333333333,1.3,76.0,2.0
231,2.5,1021.7,13.0,7.0,8.0,6.0,1.3,77.0,2.0
232,2.5,1021.5,12.0,5.4,6.0,7.0,1.3,77.0,2.0
233,1.6,1021.7,14.0,5.6,6.0,9.0,1.3,75.0,2.0
234,0.8,1022.2,16.0,5.3,7.0,12.0,0.8,71.0,2.0
235,0.4,1022.8,16.0,5.5,6.0,13.0,0.3,69.0,2.0
236,0.1,1022.8,16.0,6.1,5.0,12.0,0.3,69.0,2.0
237,-0.4,1023.5,18.0,4.8,4.0,8.0,0.3,72.0,2.0
238,-0.9,1023.7,21.0,4.8,5.0,11.0,0.3,66.0,3.0
239,-1.2,1023.6,23.0,4.8,6.0,9.0,0.3,66.0,3.0
240,-1.2,1023.6,23.0,4.6,6.0,6.0,0.3,69.0,2.0
241,-1.6,1023.5,23.0,3.1,3.0,6.0,0.3,67.0,2.0
242,-1.6,1023.7,22.0,3.3,3.0,9.0,0.4,65.0,2.0
243,-1.3,1023.9,19.0,4.0,3.0,5.0,0.2,70.0,2.0
244,-1.7,1024.1,19.0,3.7,3.0,6.0,0.2,500.0,2.0
245,-2.0,1024.5,19.0,2.8,4.0,9.0,0.2,68.0,2.0
246,-4.6,1024.8,25.0,0.8,3.0,12.0,0.2,66.0,2.0
247,-3.4,1025.4,22.0,2.2,5.0,37.0,0.2,43.0,2.0
248,-2.6,1026.4,21.0,1.9,5.0,50.0,0.3,33.0,2.0
249,-1.1,1026.8,18.0,1.6,5.0,30.0,0.3,52.0,2.0
250,0.3,1026.8,15.0,2.3,4.0,24.0,0.3,59.0,2.0
251,1.4,1026.5,15.0,3.6,5.0,13.0,0.2,70.0,2.0
252,2.4,1025.8,14.0,5.4,3.0,9.0,0.2,75.0,2.0
253,3.6,1024.9,13.0,4.5,4.0,8.0,0.2,76.0,2.0
254,4.2,1023.8,12.0,4.9,3.0,8.0,0.2,78.0,2.0
255,5.2,1023.3,11.0,4.5,6.0,10.0,0.2,78.0,2.0
256,5.0,1023.0,10.0,6.1,5.0,11.0,0.2,78.0,2.0
257,4.8,1023.1,11.0,4.2,7.0,16.0,0.2,73.0,2.0
258,3.8,1023.4,12.0,3.6,8.0,25.0,0.3,64.0,3.0
259,3.2,1023.7,13.0,2.7,8.0,33.0,0.3,55.0,4.0
260,2.0,1024.2,15.0,1.4,9.0,43.0,0.4,45.0,6.0
261,-0.3,1024.6,20.0,1.2,13.0,70.0,0.5,19.0,6.0
262,-1.7,1024.8,20.0,0.8,13.0,50.0,0.5,37.0,6.0
263,-1.7,1024.9,22.0,0.9,8.0,44.0,0.5,41.0,5.0
264,-3.1,1025.0,25.0,0.7,7.0,44.0,0.5,39.0,6.0
265,-4.4,1025.1,29.0,0.7,9.0,42.0,0.4,40.0,6.0
266,-4.3,1025.2,27.0,0.9,10.0,67.0,0.5,20.0,7.0
267,-4.0,1025.2,28.0,0.6,13.0,58.0,0.1,23.0,9.0
268,-4.6,1024.9,33.0,0.5,19.0,77.0,1.9,7.0,17.0
269,-5.7,1024.7,39.0,0.7,25.0,87.0,1.8,3.0,19.0
270,-5.9,1024.6,38.0,0.6,23.0,83.0,1.7,3.0,16.0
271,-7.7,1024.8,45.0,1.1,32.0,86.0,2.6,3.0,26.0
272,-4.7,1025.2,39.0,0.9,46.0,90.0,4.8,4.0,54.0
273,2.1,1025.4,25.0,0.8,37.0,88.0,3.1,7.0,30.0
274,4.0,1025.4,20.0,2.3,29.0,73.5,2.1,18.0,22.0
275,5.4,1025.0,19.0,2.1,21.0,59.0,1.1,29.0,14.0
276,6.4,1023.9,18.0,2.4,19.0,51.0,0.1,38.0,13.0
277,7.0,1022.9,16.0,2.1,28.0,55.0,0.1,38.0,14.0
278,8.0,1022.0,14.0,2.4,31.0,46.0,0.9,53.0,14.0
279,8.6,1021.8,12.0,1.8,39.0,30.0,0.7,75.0,14.0
280,8.7,1021.5,12.0,2.5,43.0,28.0,0.7,83.0,14.0
281,7.9,1021.2,13.0,1.5,39.0,27.0,0.6,94.0,10.0
282,6.1,1021.7,15.0,2.8,46.0,36.0,0.6,78.0,12.0
283,5.1,1022.0,17.0,1.8,70.0,44.0,0.8,63.0,24.0
284,4.0,1022.1,18.0,0.5,150.0,47.0,0.9,59.0,48.0
285,0.4,1022.9,26.0,0.1,218.0,76.0,1.1,30.0,70.0
286,-1.7,1023.0,33.0,0.6,312.0,91.0,1.4,13.0,80.0
287,-3.1,1022.9,38.0,1.2,252.0,97.0,1.6,6.0,71.0
288,-3.3,1023.0,41.0,0.3,335.0,96.0,0.2,7.0,97.0
289,-3.9,1022.7,44.0,0.5,310.0,100.0,2.7,4.0,84.0
290,-4.7,1022.9,46.0,0.8,261.0,98.0,3.1,5.0,68.0
291,-5.3,1022.3,48.0,0.5,234.0,95.0,2.8,5.0,73.0
292,-4.6,1022.2,46.0,1.0,221.0,95.0,2.8,5.0,69.0
293,-5.0,1022.3,48.0,0.6,213.0,97.0,2.9,5.0,62.0
294,-4.1,1022.5,45.0,1.9,167.0,92.0,2.8,4.0,47.0
295,-4.2,1022.8,45.0,1.8,182.0,98.0,4.3,4.0,67.0
296,-3.0,1023.3,43.0,1.9,141.0,91.0,3.5,4.0,63.0
297,-0.3,1023.5,42.0,2.7,156.0,91.0,4.1,7.0,82.0
298,1.7,1023.4,38.0,2.1,145.0,93.0,3.9,12.0,83.0
299,4.1,1023.3,31.0,1.9,139.0,93.0,3.7,20.0,86.0
300,5.9,1022.5,25.0,1.9,141.0,88.0,3.4,32.0,78.0
301,7.8,1021.5,23.0,1.6,126.0,80.0,0.3,41.0,66.0
302,9.5,1020.5,20.0,1.5,125.0,85.0,0.3,42.0,63.0
303,10.1,1020.2,19.0,1.3,126.0,90.0,2.9,46.0,56.0
304,10.1,1020.1,19.0,1.5,100.0,76.0,2.2,55.0,41.0
305,9.1,1020.4,18.0,1.6,94.0,66.0,1.9,55.0,36.0
306,6.2,1020.8,22.0,1.2,87.0,68.0,1.3,48.0,30.0
307,6.0,1021.1,24.0,1.1,92.0,91.0,1.4,23.0,27.0
308,1.9,1021.2,32.0,0.5,123.0,106.0,1.7,16.0,34.0
309,0.3,1021.5,37.0,0.4,144.0,123.0,2.1,5.0,38.0
310,-1.1,1022.0,44.0,0.1,159.0,126.0,2.5,4.0,51.0
311,-1.9,1022.4,47.0,0.7,174.0,126.0,3.9,6.0,79.0
312,-2.3,1023.0,48.0,0.4,166.0,118.0,3.3,4.0,65.0
313,-2.9,1023.2,49.0,0.4,159.0,118.0,3.2,4.0,59.0
314,-3.0,1023.5,50.0,0.8,155.0,116.0,3.3,3.0,51.0
315,-2.8,1023.7,53.0,0.9,159.0,126.0,3.8,3.0,55.0
316,-2.5,1024.1,57.0,0.9,184.0,129.0,4.6,4.0,67.0
317,-2.1,1024.7,57.0,1.2,191.0,128.0,4.6,4.0,65.0
318,-2.7,1025.3,59.0,1.5,186.0,127.0,0.5,3.0,62.0
319,-3.8,1026.1,65.0,1.2,151.0,115.0,4.3,3.0,54.0
320,-1.7,1026.9,50.0,1.2,112.0,99.0,3.1,3.0,43.0
321,4.8,1027.5,31.0,1.8,76.0,81.0,0.2,10.0,31.0
322,7.5,1027.9,23.0,3.2,47.0,67.0,1.4,19.0,19.0
323,9.7,1028.0,19.0,3.5,30.0,43.0,0.9,38.0,14.0
324,10.5,1027.7,16.0,3.0,21.0,30.0,0.6,53.0,10.0
325,11.1,1027.1,15.0,2.7,15.0,25.0,0.5,59.0,9.0
326,12.3,1026.3,13.0,1.9,16.0,23.0,0.4,64.0,7.0
327,12.8,1026.3,13.0,1.8,14.0,23.0,0.3,68.0,6.0
328,12.0,1026.4,13.0,2.9,14.0,30.0,0.4,65.0,6.0
329,10.8,1026.7,15.0,2.4,19.0,35.0,0.4,61.0,6.0
330,8.0,1027.0,17.0,1.9,18.0,45.0,0.3,50.0,5.0
331,6.3,1027.8,29.0,1.8,65.0,73.0,1.2,33.0,18.0
332,4.9,1028.6,33.0,1.4,103.0,84.0,1.7,25.0,28.0
333,3.1,1029.3,46.0,1.8,133.0,103.0,2.3,10.0,41.0
334,1.9,1029.9,42.0,2.2,141.0,81.0,2.1,36.0,45.0
335,0.0,1030.3,46.0,0.9,122.0,74.0,0.2,38.0,42.0
336,-1.9,1030.4,55.0,1.2,133.0,65.0,2.2,39.0,40.0
337,-2.5,1030.8,62.0,1.7,124.0,89.0,1.9,14.0,35.0
338,-2.5,1031.0,68.0,1.1,140.0,87.0,2.1,10.0,34.0
339,-3.1,1030.8,71.0,1.0,141.0,99.0,2.5,3.0,34.0
340,-3.4,1030.9,76.0,1.5,134.0,95.0,2.7,500.0,23.0
341,-3.6,1030.7,84.0,1.4,133.0,97.0,3.2,2.0,21.0
342,-4.4,1031.0,86.0,1.0,134.0,101.0,3.3,2.0,20.0
343,-4.8,1031.0,89.0,0.8,126.0,97.0,2.9,2.0,15.0
344,-4.0,1031.2,92.0,0.9,132.0,101.0,3.3,3.0,17.0
345,-3.2,1031.3,89.0,1.1,147.0,101.0,3.3,3.0,26.0
346,-1.4,1031.0,85.0,1.1,181.0,102.0,3.4,4.0,22.0
347,0.2,1030.6,75.0,1.4,178.0,99.0,0.3,5.0,25.0
