time,Date_Time,3:Temperature_Comedor_Sensor,4:Temperature_Habitacion_Sensor,5:Weather_Temperature,6:CO2_Comedor_Sensor,7:CO2_Habitacion_Sensor,8:Humedad_Comedor_Sensor,9:Humedad_Habitacion_Sensor,10:Lighting_Comedor_Sensor,11:Lighting_Habitacion_Sensor,12:Precipitacion,13:Meteo_Exterior_Crepusculo,14:Meteo_Exterior_Viento,15:Meteo_Exterior_Sol_Oest,16:Meteo_Exterior_Sol_Est,17:Meteo_Exterior_Sol_Sud,18:Meteo_Exterior_Piranometro,19:Exterior_Entalpic_1,20:Exterior_Entalpic_2,21:Exterior_Entalpic_turbo,22:Temperature_Exterior_Sensor,23:Humedad_Exterior_Sensor,24:Day_Of_Week
13,2012-03-13 15:00:00,21.4293,21.4253,19.6667,216.25599999999997,219.68,41.1987,40.955999999999996,36.2653,45.6747,0.0,619.243,2.432,90472.4,9963.52,60604.4,544.533,0,0,0,22.1373,44.5467,2.0
14,2012-03-13 15:15:00,21.488000000000003,21.8467,19.0,213.173,219.285,41.88,40.6347,34.476,40.16,0.0,619.1569999999999,1.732,88391.7,9655.3,52794.7,503.744,0,0,0,22.08,44.7813,2.0
15,2012-03-13 15:30:00,21.524,22.1573,18.6667,211.093,217.58900000000003,43.2213,40.8413,31.1267,32.248000000000005,0.0,618.944,1.89133,89134.4,8651.78,44743.3,460.523,0,0,0,21.9373,45.6773,2.0
16,2012-03-13 15:45:00,21.584,22.404,18.2,211.157,215.136,43.3653,40.8867,21.441999999999997,23.44,0.0,618.645,1.64267,88462.7,7906.3,36479.0,415.744,0,0,0,21.7067,45.5173,2.0
17,2012-03-13 16:00:00,21.612,22.7307,18.0,209.419,214.24,42.744,40.3867,20.822,23.44,0.0,618.56,1.59067,85333.3,7433.22,28270.6,368.917,0,0,0,21.4667,45.2373,2.0
18,2012-03-13 16:15:00,21.664,22.9373,18.0,209.408,213.632,42.216,39.9227,20.8233,23.44,0.0,618.56,1.732,84587.9,7175.17,21476.7,320.448,0,0,0,21.1773,45.0747,2.0
19,2012-03-13 16:30:00,21.6853,23.2,18.0,209.547,215.02900000000002,41.976000000000006,39.6133,21.2633,22.244,0.0,618.5169999999999,1.59,78588.6,6831.1,16318.5,271.723,0,0,0,20.9373,45.071999999999996,2.0
20,2012-03-13 16:45:00,21.788,23.436,18.0,212.715,217.067,41.52,39.084,20.4807,23.44,0.0,617.92,1.94733,74555.4,6515.71,12792.5,222.44299999999998,0,0,0,20.7107,44.128,2.0
21,2012-03-13 17:00:00,21.831999999999997,23.668000000000003,18.7333,212.405,216.66099999999997,41.3253,38.3013,20.741999999999997,22.784000000000002,0.0,617.7919999999999,1.564,65830.9,5899.26,10106.2,173.835,0,0,0,20.4627,43.2747,2.0
22,2012-03-13 17:15:00,21.808000000000003,23.851999999999997,19.0,212.06400000000002,216.672,40.8667,37.7867,20.84,23.5853,0.0,617.109,1.544,40424.4,4243.46,6537.22,101.244,0,0,0,20.2047,43.6107,2.0
23,2012-03-13 17:30:00,21.768,24.0213,18.6667,211.21099999999998,216.299,40.9813,37.711999999999996,20.9207,23.2253,0.0,615.957,1.08867,3024.9,2229.25,2042.88,24.6653,0,0,0,19.976,45.8293,2.0
24,2012-03-13 17:45:00,21.7133,24.1413,18.0,211.051,216.768,41.4107,37.748000000000005,19.4407,23.2427,0.0,615.36,0.8446670000000001,2207.74,1576.96,1512.45,15.57,0,0,0,19.756,47.0693,2.0
25,2012-03-13 18:00:00,21.66,24.268,18.0,210.763,217.088,41.992,37.8373,11.5887,21.4213,0.0,614.592,1.442,1017.86,222.208,293.888,5.00933,0,0,0,19.5273,49.5467,2.0
26,2012-03-13 18:15:00,21.596,24.38,18.0,210.571,215.61599999999999,43.1973,38.2173,11.5073,13.362,0.0,585.984,0.969333,0.0,0.0,0.0,-2.93933,0,0,0,19.3013,52.2027,2.0
27,2012-03-13 18:30:00,21.5307,24.0707,17.8667,209.92,216.107,43.8213,39.356,11.5073,13.1027,0.0,150.851,0.798667,0.0,0.0,0.0,-3.904,0,0,0,19.0413,53.8053,2.0
28,2012-03-13 18:45:00,21.4493,23.588,17.0,209.792,215.477,44.3893,40.1587,11.5073,13.6067,0.0,4.606669999999999,0.228,0.0,0.0,0.0,-3.708,0,0,0,18.768,54.928000000000004,2.0
29,2012-03-13 19:00:00,21.3747,23.2867,17.0,210.05900000000003,214.987,44.68,40.751999999999995,11.4427,13.0213,0.0,0.782,0.324,0.0,0.0,0.0,-3.64267,0,0,0,18.4967,55.751999999999995,2.0
30,2012-03-13 19:15:00,21.276,23.031999999999996,16.2667,210.06900000000002,215.115,44.64,41.2507,11.425999999999998,13.5413,0.0,0.65,0.716,0.0,0.0,0.0,-3.708,0,0,0,18.23,56.0213,2.0
31,2012-03-13 19:30:00,21.1987,22.7747,15.6667,209.90900000000002,216.0,44.8213,41.61600000000001,11.3113,12.7773,0.0,0.65,0.110667,0.0,0.0,0.0,-3.904,0,0,0,18.0053,56.583999999999996,2.0
32,2012-03-13 19:45:00,21.0933,22.5533,15.6,210.65599999999998,214.90099999999998,44.7493,42.0027,11.67,13.3787,0.0,0.65,0.661333,0.0,0.0,0.0,-3.5773300000000003,0,0,0,17.7807,57.5387,2.0
33,2012-03-13 20:00:00,21.0,22.351999999999997,15.0,210.667,214.549,44.5867,42.4373,11.524000000000001,13.0213,0.0,0.65,0.615333,0.0,0.0,0.0,-3.64267,0,0,0,17.576,57.9147,2.0
34,2012-03-13 20:15:00,20.9053,22.1227,15.0,209.877,213.888,44.3227,42.6267,11.6053,13.0213,0.0,0.65,0.458667,0.0,0.0,0.0,-3.64267,0,0,0,17.3707,57.5893,2.0
35,2012-03-13 20:30:00,20.816,21.9347,15.0,210.315,213.675,44.4693,42.7493,11.7847,13.2153,0.0,0.65,0.132,0.0,0.0,0.0,-3.64267,0,0,0,17.1607,57.1467,2.0
36,2012-03-13 20:45:00,20.72,21.7133,15.0,209.429,214.123,44.0507,42.808,11.4427,13.2653,0.0,0.65,0.119333,0.0,0.0,0.0,-3.512,0,0,0,16.9407,57.1653,2.0
37,2012-03-13 21:00:00,20.628,21.5373,15.0,209.21599999999998,214.304,43.6827,42.8533,11.5887,12.5813,0.0,0.65,0.0,0.0,0.0,0.0,-3.38133,0,0,0,16.6853,57.1813,2.0
38,2012-03-13 21:15:00,20.5253,21.348000000000003,14.6,210.53900000000002,215.275,43.8027,42.856,11.524000000000001,13.1827,0.0,0.65,0.0,0.0,0.0,0.0,-3.5773300000000003,0,0,0,16.416,57.2453,2.0
39,2012-03-13 21:30:00,20.43,21.148000000000003,14.0667,211.04,216.832,43.623999999999995,42.9227,11.5887,12.8587,0.0,0.6940000000000001,0.0,0.0,0.0,0.0,-3.38133,0,0,0,16.22,57.3653,2.0
40,2012-03-13 21:45:00,20.3147,20.9813,12.9333,211.317,217.86700000000002,43.136,42.9413,11.524000000000001,12.8587,0.0,0.65,0.0,0.0,0.0,0.0,-3.4466699999999997,0,0,0,16.0547,57.5253,2.0
41,2012-03-13 22:00:00,20.2133,20.8107,12.0,212.38400000000001,218.891,43.2,43.016000000000005,11.6053,12.94,0.0,0.65,0.0,0.0,0.0,0.0,-3.512,0,0,0,15.876,57.711999999999996,2.0
42,2012-03-13 22:15:00,20.114,20.66,12.0,213.16299999999998,219.68,42.8533,43.0853,11.524000000000001,13.1833,0.0,0.65,0.0,0.0,0.0,0.0,-3.4466699999999997,0,0,0,15.7213,57.896,2.0
43,2012-03-13 22:30:00,20.0053,20.4753,11.6,213.472,219.74400000000003,42.7333,43.1307,11.7847,13.1027,0.0,0.65,0.0,0.0,0.0,0.0,-3.4466699999999997,0,0,0,15.5673,58.0133,2.0
44,2012-03-13 22:45:00,19.9007,20.3147,10.1333,214.827,219.627,42.6853,43.1813,11.6053,13.184000000000001,0.0,0.65,0.0,0.0,0.0,0.0,-3.38133,0,0,0,15.4147,57.928000000000004,2.0
45,2012-03-13 23:00:00,19.7953,20.164,10.3333,214.33599999999998,219.797,42.1973,43.24,11.524000000000001,12.94,0.0,0.65,0.0,0.0,0.0,0.0,-3.512,0,0,0,15.26,58.048,2.0
46,2012-03-13 23:15:00,19.6773,19.9967,11.0,215.136,221.46099999999998,41.9947,43.2427,11.524000000000001,14.4027,0.0,0.65,0.0,0.0,0.0,0.0,-3.4466699999999997,0,0,0,15.065999999999999,58.0107,2.0
47,2012-03-13 23:30:00,19.5727,19.846,11.0,216.38400000000001,221.93099999999998,41.7573,43.248000000000005,11.6053,13.427999999999999,0.0,0.65,0.0,0.0,0.0,0.0,-3.3160000000000003,0,0,0,14.864,57.864,2.0
48,2012-03-13 23:45:00,19.442,19.6773,10.2667,216.97099999999998,223.49900000000002,41.3467,43.2293,11.524000000000001,13.184000000000001,0.0,0.65,0.0,0.0,0.0,0.0,-3.18533,0,0,0,14.6387,57.7173,2.0
49,2012-03-14 00:00:00,19.3327,19.526,10.0,217.835,223.38099999999997,41.431999999999995,43.1573,11.6053,13.0207,0.0,0.65,0.0,0.0,0.0,0.0,-3.25067,0,0,0,14.4433,57.5627,2.0666700000000002
50,2012-03-14 00:15:00,19.238,19.3733,9.46667,219.115,223.637,41.0427,43.16,11.6053,13.5413,0.0,0.65,0.0,0.0,0.0,0.0,-3.3160000000000003,0,0,0,14.2667,57.472,3.0
51,2012-03-14 00:30:00,19.0933,19.2087,9.0,219.2,225.13099999999997,41.0133,43.152,11.524000000000001,13.1027,0.0,0.738,0.0,0.0,0.0,0.0,-3.4466699999999997,0,0,0,13.9887,57.7253,3.0
52,2012-03-14 00:45:00,18.962,19.0527,9.0,221.493,227.50900000000001,41.152,43.1573,11.524000000000001,13.2653,0.0,0.65,0.0,0.0,0.0,0.0,-3.4466699999999997,0,0,0,13.7673,58.3413,3.0
53,2012-03-14 01:00:00,18.8533,18.8973,9.0,222.229,226.208,41.152,43.24,11.5073,12.4353,0.0,0.65,0.0,0.0,0.0,0.0,-3.18533,0,0,0,13.6213,58.496,3.0
54,2012-03-14 01:15:00,18.7267,18.734,9.0,222.155,226.09099999999998,41.0427,43.2613,11.6867,13.6387,0.0,0.65,0.0,0.0,0.0,0.0,-3.18533,0,0,0,13.522,58.1013,3.0
55,2012-03-14 01:30:00,18.6073,18.5833,9.0,222.74099999999999,225.301,40.9627,43.2187,11.524000000000001,13.2,0.0,0.65,0.0,0.0,0.0,0.0,-3.18533,0,0,0,13.3787,57.44,3.0
56,2012-03-14 01:45:00,18.5007,18.4167,9.0,221.515,225.237,40.708,43.1653,11.7847,13.427999999999999,0.0,0.65,0.0,0.0,0.0,0.0,-3.38133,0,0,0,13.1973,57.5707,3.0
57,2012-03-14 02:00:00,18.36,18.2727,8.86667,222.304,226.56,40.6213,43.16,11.7033,13.1993,0.0,0.65,0.0,0.0,0.0,0.0,-3.3160000000000003,0,0,0,12.9067,57.4293,3.0
58,2012-03-14 02:15:00,18.2387,18.0973,8.0,222.41099999999997,227.21099999999998,40.711999999999996,43.16,11.6867,13.5093,0.0,0.65,0.0,0.0,0.0,0.0,-3.12,0,0,0,12.6573,57.3867,3.0
59,2012-03-14 02:30:00,18.09,17.9533,8.0,222.08,225.6,40.6547,43.16,11.7847,13.184000000000001,0.0,0.65,0.0,0.0,0.0,0.0,-3.3160000000000003,0,0,0,12.5453,57.3787,3.0
60,2012-03-14 02:45:00,17.9553,17.8173,8.4,222.43200000000002,225.355,40.672,43.176,11.4427,13.8013,0.0,0.6940000000000001,0.0,0.0,0.0,0.0,-3.12,0,0,0,12.398,57.3493,3.0
61,2012-03-14 03:00:00,17.8333,17.654,7.8,221.12,222.795,40.676,43.1653,11.767999999999999,13.427999999999999,0.0,0.65,0.0,0.0,0.0,0.0,-3.18533,0,0,0,12.29,56.8533,3.0
62,2012-03-14 03:15:00,17.7047,17.5153,7.0,220.85299999999998,220.747,40.488,43.104,11.524000000000001,13.3467,0.0,0.65,0.168,0.0,0.0,0.0,-3.18533,0,0,0,12.175999999999998,56.6053,3.0
63,2012-03-14 03:30:00,17.5733,17.3267,7.0,218.78400000000002,216.928,40.3333,42.872,11.7847,13.3467,0.0,0.65,0.508,0.0,0.0,0.0,-3.10733,0,0,0,12.1367,56.2693,3.0
64,2012-03-14 03:45:00,17.4713,17.1553,7.0,216.373,217.21599999999998,40.4413,42.8507,11.6053,13.2653,0.0,0.65,0.0413333,0.0,0.0,0.0,-3.25067,0,0,0,12.072000000000001,56.0453,3.0
65,2012-03-14 04:00:00,17.3667,17.0253,7.0,216.043,215.957,40.4253,42.8933,11.9473,13.427999999999999,0.0,0.65,0.0,0.0,0.0,0.0,-3.12,0,0,0,11.9873,55.983999999999995,3.0
66,2012-03-14 04:15:00,17.268,16.894000000000002,7.0,214.187,215.392,40.372,42.856,11.622,13.427999999999999,0.0,0.65,0.230667,0.0,0.0,0.0,-3.18533,0,0,0,11.9167,56.0373,3.0
67,2012-03-14 04:30:00,17.125999999999998,16.7433,7.0,213.003,213.78099999999998,40.3133,42.751999999999995,11.7847,13.1027,0.0,0.65,0.663333,0.0,0.0,0.0,-3.17267,0,0,0,11.8633,56.0667,3.0
68,2012-03-14 04:45:00,16.9933,16.608,7.0,212.61900000000003,213.419,40.312,42.648,11.6053,12.7607,0.0,0.65,1.298,0.0,0.0,0.0,-3.25067,0,0,0,11.835999999999999,56.1867,3.0
69,2012-03-14 05:00:00,16.904,16.4307,6.66667,211.168,212.672,40.3413,42.672,11.6053,13.2653,0.0,0.65,0.706,0.0,0.0,0.0,-3.25067,0,0,0,11.7567,56.104,3.0
70,2012-03-14 05:15:00,16.83,16.2933,6.0,211.317,212.99200000000002,40.376,42.776,11.622,13.427999999999999,0.0,0.65,0.0,0.0,0.0,0.0,-3.12,0,0,0,11.6907,56.0907,3.0
71,2012-03-14 05:30:00,16.7333,16.174,6.13333,211.2,213.856,40.372,42.8667,11.866,13.3467,0.0,0.782,0.0,0.0,0.0,0.0,-3.12,0,0,0,11.5713,56.4747,3.0
72,2012-03-14 05:45:00,16.61,16.035999999999998,6.8,210.304,214.005,40.4253,42.9387,11.767999999999999,13.3467,0.0,2.54133,0.0,0.0,0.0,0.0,-3.18533,0,0,0,11.3687,57.0773,3.0
73,2012-03-14 06:00:00,16.504,15.9227,7.0,210.571,214.229,40.48,42.9787,11.524000000000001,13.672,0.0,66.166,0.0,0.0,0.0,0.0,-3.18533,0,0,0,11.2627,56.8853,3.0
74,2012-03-14 06:15:00,16.3927,15.8607,6.066669999999999,211.072,214.197,40.4373,43.016000000000005,11.6053,13.8507,0.0,499.723,0.0,0.0,0.0,0.0,-2.19667,0,0,0,11.1727,56.9093,3.0
75,2012-03-14 06:30:00,16.282,15.74,6.0,211.093,214.49599999999998,40.448,43.0747,11.6053,19.6253,0.0,611.84,0.0,150.528,2042.88,738.304,6.454,0,0,0,11.1,56.9573,3.0
76,2012-03-14 06:45:00,16.178,15.6427,6.0,211.467,217.077,40.44,43.0853,20.0447,23.44,0.0,612.651,0.0,4107.26,22017.0,7059.8,32.7267,0,0,0,11.03,57.088,3.0
77,2012-03-14 07:00:00,16.1087,15.5307,6.0,213.55700000000002,219.68,40.4507,43.0507,21.328000000000003,23.44,0.0,614.507,0.0,7877.63,43632.0,16936.3,72.7547,0,0,0,11.0,56.8347,3.0
78,2012-03-14 07:15:00,16.0233,15.4753,6.0,215.22099999999998,218.187,40.348,42.903999999999996,21.4893,23.5507,0.0,616.085,0.127333,9734.14,54998.4,26204.8,116.60799999999999,0,0,0,11.09,56.12,3.0
79,2012-03-14 07:30:00,15.99,15.3773,6.33333,215.093,217.739,40.508,42.84,21.5073,23.44,0.0,617.408,0.0,11285.8,62906.4,35655.7,164.304,0,0,0,11.2253,55.3573,3.0
80,2012-03-14 07:45:00,15.96,15.6793,7.0,215.424,216.928,40.556,42.06399999999999,21.3453,26.528000000000002,0.0,618.773,0.0,12533.8,69208.7,44455.3,214.86900000000003,0,0,0,11.4613,54.4987,3.0
81,2012-03-14 08:00:00,15.97,16.2273,7.66667,215.50900000000001,218.46400000000003,40.6867,41.11600000000001,21.166,38.3507,0.0,619.413,0.0,13487.4,72149.7,51937.3,264.33099999999996,0,0,0,11.777999999999999,53.9627,3.0
82,2012-03-14 08:15:00,15.9967,16.6473,9.0,215.488,218.475,40.7867,40.5907,21.246,49.1547,0.0,620.139,0.0,14361.3,74227.7,59392.0,313.22700000000003,0,0,0,12.1447,54.224,3.0
83,2012-03-14 08:30:00,16.038,17.0253,9.2,215.872,219.392,40.868,40.2613,27.3667,65.44,0.0,620.821,0.0,15451.5,75502.9,67114.3,361.685,0,0,0,12.57,55.1733,3.0
84,2012-03-14 08:45:00,16.1227,17.3987,9.73333,215.21099999999998,219.53099999999998,40.9867,39.98,32.492,83.0133,0.0,621.547,0.0,17179.3,75882.5,73408.5,406.67699999999996,0,0,0,13.0093,56.2373,3.0
85,2012-03-14 09:00:00,16.246,17.7927,10.0,216.18099999999998,220.523,40.9,39.62,41.516000000000005,107.493,0.0,622.357,0.0,18683.9,76455.9,79055.5,449.92,0,0,0,13.4953,56.9333,3.0
86,2012-03-14 09:15:00,16.4007,18.2633,11.6,215.41299999999998,220.77900000000002,40.6547,39.2147,41.4173,112.56,0.0,622.656,0.192,17724.8,78654.1,84863.7,495.829,0,0,0,14.0053,56.792,3.0
87,2012-03-14 09:30:00,16.6693,18.712,13.6667,216.81099999999998,233.90900000000002,40.2733,38.5987,49.7333,128.923,0.0,623.0830000000001,0.174,15824.9,75707.7,89205.4,533.163,0,0,0,14.52,55.751999999999995,3.0
88,2012-03-14 09:45:00,16.9007,19.2667,15.0,218.27200000000002,230.62400000000002,40.172,37.8773,51.9147,140.64,0.0,623.211,0.44066700000000003,14361.9,72237.1,93743.8,574.2719999999999,0,0,0,15.106,55.08,3.0
89,2012-03-14 10:00:00,17.1213,19.8067,15.6667,219.808,228.32,40.1813,37.096,51.5707,142.944,0.0,624.32,0.764667,13043.0,67125.2,95660.7,612.971,0,0,0,15.6,54.1627,3.0
90,2012-03-14 10:15:00,17.3767,20.3413,17.0,221.44,228.44799999999998,40.22,36.3373,53.9013,143.2,0.0,624.32,0.392,11896.1,58480.0,95649.8,641.6,0,0,0,16.0653,53.416000000000004,3.0
91,2012-03-14 10:30:00,17.7033,20.8453,17.6667,225.109,262.85900000000004,40.3733,36.7587,81.6827,128.155,0.0,624.32,0.909333,11179.3,48507.6,95584.3,667.7330000000001,0,0,0,16.586,52.92,3.0
92,2012-03-14 10:45:00,18.096,21.451999999999998,19.0,232.331,396.096,40.4653,39.972,81.4827,113.429,0.0,623.979,1.2026700000000001,10685.4,36554.1,95518.7,692.0110000000001,0,0,0,17.142,52.8747,3.0
93,2012-03-14 11:00:00,18.4513,21.788,19.0,238.752,436.309,40.832,40.688,81.7413,114.24,0.0,623.467,1.4973299999999998,10157.1,25960.4,95475.0,718.2510000000001,0,0,0,17.636,52.696000000000005,3.0
94,2012-03-14 11:15:00,18.76,21.836,19.0,243.90400000000002,448.469,41.0307,41.2693,81.6613,112.64,0.0,623.04,1.868,9640.96,19033.4,95425.9,741.12,0,0,0,18.03,52.0427,3.0
95,2012-03-14 11:30:00,19.122,21.6173,19.0,267.189,301.28,41.836000000000006,39.4267,81.4213,142.56,0.0,623.04,1.9346700000000001,9411.58,15601.0,95431.3,754.987,0,0,0,18.3747,52.0773,3.0
96,2012-03-14 11:45:00,19.546,21.424,19.0,283.349,265.952,42.431999999999995,40.624,81.42399999999999,141.68,0.0,622.656,2.028,9777.15,13444.4,95382.2,763.52,0,0,0,18.6873,52.4213,3.0
97,2012-03-14 12:00:00,20.0367,21.6,19.0,322.869,310.432,43.0747,41.4853,81.4827,139.797,0.0,622.4,1.992,11366.1,11158.2,95354.9,771.627,0,0,0,18.9767,52.688,3.0
98,2012-03-14 12:15:00,20.4673,21.8587,19.7333,357.781,384.44800000000004,42.1147,41.824,81.6613,123.637,0.0,622.144,2.25667,14368.8,10135.6,95311.2,776.6189999999999,0,0,0,19.248,53.16,3.0
99,2012-03-14 12:30:00,20.831999999999997,22.0573,19.4667,396.843,472.277,42.1467,42.1573,81.4427,116.67200000000001,0.0,622.229,1.81,18976.8,10092.5,95344.0,775.253,0,0,0,19.5893,53.3893,3.0
100,2012-03-14 12:45:00,21.215999999999998,22.1907,19.0,445.24800000000005,475.051,42.4773,42.6587,81.3227,112.49600000000001,0.0,622.4,2.0340000000000003,26528.4,9640.96,95354.9,771.456,0,0,0,19.9793,53.2213,3.0
101,2012-03-14 13:00:00,21.6253,22.34,19.0,445.80300000000005,472.36300000000006,44.2933,43.472,81.2613,112.49600000000001,0.0,622.101,1.952,37169.8,9017.34,95278.4,762.795,0,0,0,20.274,53.2027,3.0
102,2012-03-14 13:15:00,21.8947,22.4707,19.0,428.92800000000005,438.592,43.0907,43.312,81.3413,112.411,0.0,621.76,1.90133,49610.8,8759.3,95300.3,749.952,0,0,0,20.5307,53.111999999999995,3.0
103,2012-03-14 13:30:00,22.1773,22.62,19.1333,436.11699999999996,445.824,43.2027,43.472,80.9227,112.581,0.0,621.461,2.008,62794.4,8902.66,95163.7,731.3919999999999,0,0,0,20.88,53.008,3.0
104,2012-03-14 13:45:00,22.3373,22.624000000000002,19.7333,401.23699999999997,421.611,43.0427,43.6587,81.1013,94.976,0.0,620.48,2.08933,72485.5,8967.17,91799.6,712.4910000000001,0,0,0,21.2107,52.6907,3.0
105,2012-03-14 14:00:00,22.4733,22.691999999999997,20.0,378.45300000000003,356.352,42.8373,43.6027,81.0827,82.88,0.0,620.48,1.63933,81002.5,9053.18,86911.7,686.507,0,0,0,21.5027,52.288000000000004,3.0
106,2012-03-14 14:15:00,22.612,22.7347,20.0,352.171,306.848,43.0427,43.3333,64.8453,82.8,0.0,620.352,1.8719999999999999,88124.1,9218.05,81589.6,657.472,0,0,0,21.844,51.784,3.0
107,2012-03-14 14:30:00,22.7813,22.78,20.0,308.57599999999996,297.813,43.7227,43.2533,51.416000000000004,62.1467,0.0,619.84,1.82067,91045.9,9447.42,75524.8,627.84,0,0,0,22.195999999999998,50.8,3.0
108,2012-03-14 14:45:00,22.912,22.816,20.0,292.971,276.52299999999997,43.672,43.1067,50.6347,52.5893,0.0,619.84,1.9606700000000001,93498.0,9784.32,68381.4,594.283,0,0,0,22.3693,49.4987,3.0
109,2012-03-14 15:00:00,22.991999999999997,22.8213,20.0,277.387,260.256,43.4987,43.0213,41.9733,45.0453,0.0,619.328,1.7819999999999998,93066.6,9992.19,60907.5,558.443,0,0,0,22.32,48.1893,3.0
110,2012-03-14 15:15:00,23.088,22.808000000000003,20.0,263.808,248.85299999999998,43.06399999999999,42.8987,38.6867,39.6987,0.0,619.2,2.03067,91258.9,9612.29,52974.9,518.827,0,0,0,22.136,46.431999999999995,3.0
111,2012-03-14 15:30:00,23.148000000000003,22.776,20.0,243.435,243.765,42.0827,42.623999999999995,31.0453,32.0533,0.0,618.816,1.84467,92160.0,8673.28,44761.1,476.37300000000005,0,0,0,21.8853,45.1947,3.0
112,2012-03-14 15:45:00,23.164,22.7347,20.0,232.69299999999998,237.58900000000003,41.123999999999995,42.224,23.004,22.604,0.0,618.6030000000001,2.00933,91930.6,7985.15,36319.2,431.25300000000004,0,0,0,21.5827,44.3787,3.0
113,2012-03-14 16:00:00,23.131999999999998,22.6907,19.8667,224.021,233.12,40.4133,41.952,20.8053,23.388,0.0,618.56,1.56,88861.4,7533.57,27955.2,383.63699999999994,0,0,0,21.2467,44.2373,3.0
114,2012-03-14 16:15:00,23.128,22.608,19.0,219.52,229.899,39.9333,41.663999999999994,20.741999999999997,22.9467,0.0,618.56,1.636,88479.1,7347.2,21349.0,334.421,0,0,0,20.9627,44.0347,3.0
115,2012-03-14 16:30:00,23.0627,22.5613,19.0,216.50099999999998,226.86900000000003,39.2667,41.5227,20.9027,23.1093,0.0,618.091,1.4980000000000002,82580.8,7081.98,16311.6,285.024,0,0,0,20.6947,43.544,3.0
116,2012-03-14 16:45:00,22.996,22.484,19.0,216.61900000000003,221.515,38.8173,41.48,20.6607,22.9813,0.0,617.92,1.7819999999999998,78711.5,6773.76,12907.9,234.805,0,0,0,20.4427,43.4693,3.0
